name,username,message,clusters,likes,comments,engajamento,url,time
Isabel Ferreira,eusoubelferreira,Circulam nas redes sociais vídeos que mostram o momento em que os incêndios que atingem o Pantanal consomem a mata de um lado do Rio Paraguai durante o tradicional Arraial do Banho de São João  em Corumbá  no Mato Grosso do Sul. O contraste entre a festa e a tragédia ambiental gerou diversas críticas.,Imprensa e redes sociais,0,56,0,https://www.instagram.com/eusoubelferreira,2024-06-25T18:56:15-07:00
Amo Gravataí,amogravatai,PÓS-ENCHENTES | Parque Ambiental de Gravataí segue contribuindo para a limpeza de Porto Alegre e região ♻️🚮🚜  Na edição desta terça-feira (25)  o Jornal do Almoço destacou o importante papel do Parque Ambiental de Gravataí no gerenciamento dos resíduos provenientes das enchentes que atingiram Porto Alegre.   A repórter Cristine Gallisa acompanhou de perto todo o processo junto a Diego Soares Núñez  sócio do grupo responsável pelo aterro de resíduos.   Com uma área vasta de 17 hectares  o parque se destaca como um dos maiores do Estado e o primeiro a integrar resíduos de diversas naturezas no país.  Localizado estrategicamente  o aterro não apenas recebe resíduos da construção civil  mas também está preparado para lidar com resíduos urbanos  da área da saúde  industriais e eletrônicos.   O processo inclui a pesagem  separação e encaminhamento de cada tipo de material para sua destinação adequada.  🎥 RBS TV  #AmoGravataí #ParqueAmbiental #Enchentes #Gravataí #PortoAlegre,Enchente - Rio Grande do Sul,0,0,0,https://www.instagram.com/amogravatai/reel/C8pT_KbuSR7/,2024-06-25T09:46:09-07:00
Wagner Cleyton Fonseca,prof_wagnerambiental,Muito triste tudo que está acontecendo no Rio Grande do Sul.  O órgão ambiental estadual (FEPAM) e a Secretaria de Meio Ambiente e Infraestrutura editaram novas normativas ambientais para este momento tão difícil.  Comente site  que enviamos o link do site da FEPAM para o seu direct.  #consultoriaambiental #gestãoambiental #engenheiro #engenhariaambiental #biologia #ibama #meioambiente #relatórioambiental #licençaambiental #cetesb #riograndedosul #professorwagnerambiental,Enchente - Rio Grande do Sul,148,2,74,https://www.instagram.com/prof_wagnerambiental/p/C8pE7GKNNKC/?locale=zh-hans,2024-06-25T08:00:46-07:00
Rádio Uirapuru,radiouirapuru,O momento é de retomada no Rio Grande do Sul. O estado segue se recuperando dos efeitos da maior tragédia climática de sua história  e ao mesmo tempo  dá mais voz ao tema ambiental.  E foi este tema que motivou a visita  ontem (24)  da Deputada Estadual Laura Sito (PT). Laura  a deputada estadual mais jovem e a primeira mulher negra deputada no Estado  é a Presidente da Comissão dos Direitos Humanos da Assembleia Legislativa Gaúcha.  Em entrevista na Uirapuru a deputada Laura explicou que cumpriu agenda na cidade em uma discussão sobre desenvolvimento local ao mesmo tempo que respeita o meio ambiente.  Explicou que a discussão teve a presença da arquiteta Marina Bernardes e demais representações.  Disse que a situação de casas e cidades em áreas de risco é pertinente e tem relação direta com os direitos humanos.  Afirmou que o Rio Grande do Sul se mostrou despreparado para enfrentar esta tragédia  tendo impacto direto nas moradias.  Alertou que cidades precisarão ser realocadas  o que demanda uma discussão direta sobre o direito destas pessoas. Afirmou que a Assembleia está atenta a isso e busca que as pessoas tenham onde morar de forma segura  mas principalmente digna.  Saiba mais em rduirapuru.com.br,Enchente - Rio Grande do Sul,185,44,92,https://www.instagram.com/radiouirapuru/p/C7eJz5hvXoG/,2024-06-25T08:00:27-07:00
Matheus Gomes,matheuspggomes,Nessa tarde  famílias que perderam suas casas nas enchentes  ocuparam o antigo prédio da Fundação Ambiental do RS e foram despejadas pela BM  em 16 de junho  cobraram um retorno de Eduardo Leite.  Entraram no Palácio Piratini e tiveram a garantia do governador que a solução seria pacífica. Porém  na saída do Palácio  a Brigada Militar iniciou a tentativa de criminalização do <redacted_mention>.   Auxiliei na negociação para que a palavra dada pelo governador fosse cumprida e acompanhei os desdobramentos do caso no Palácio da Polícia.  A luta coletiva por moradia digna deve ser respeitada  tratada com sensibilidade e agilidade pelos governantes e é isso que Eduardo Leite deveria fazer agora!  #portoalegre #eduardoleite #ocupação #riograndedosul,Enchente - Rio Grande do Sul,23960,952,11980,https://www.instagram.com/matheuspggomes,2024-06-24T17:42:16-07:00
Brasil de Fato,brasildefato,"#Opinião | Qual o papel do jornalismo na tragédia do RS? 🗞💻  ""O Rio Grande do Sul busca se reerguer de sua maior tragédia ambiental. Até o momento  foram mais de 170 mortos  centenas de feridos e milhares de desabrigados. O cenário é de grande destruição  o que resultou na quase paralisação do estado desde o início de maio.""  ""O Aeroporto Internacional Salgado Filho segue fechado  a rodoviária de Porto Alegre e o trem metropolitano ficaram inoperantes por dias. Hospitais e escolas foram inundados  como também diversos prédios públicos.""  ""A imediata reação da sociedade diante desse quadro foi  inicialmente  priorizar a preservação da vida. Todos os esforços foram direcionados para resgates  atendimento médico  acolhimento e apoio às vítimas. 'Não é hora de procurar culpados'  era o que diziam não apenas os supostos culpados  mas também representantes da imprensa hegemônica gaúcha.""  ""O que não se observa na grande mídia é justamente uma discussão sobre suas responsabilidades  principalmente no que se refere à omissão frente aos possíveis riscos ambientais. Ao silenciar  esse jornalismo não só se prepara apenas para 'cobrir catástrofes  mas ele próprio é cúmplice do desastre'  afirmam Loose  Camana e Belmonte.”  ""Após as chuvas de setembro e novembro de 2023  em menor volume que as da enchente de maio de 2024  mas também bastante intensas  fica a pergunta: por que o jornalismo hegemônico gaúcho não se interessou em verificar as reais condições dos sistemas de proteção existentes em Porto Alegre?""  O artigo foi escrito por Sérgio Pereira  jornalista  servidor público  mestre em Comunicação pela UFRGS e integrante do Grupo de Pesquisa Jornalismo Ambiental (UFRGS/CNPq). Leia ele completo no #BrasildeFato 📲 Link na bio",Imprensa e redes sociais,1202,35,601,https://www.instagram.com/brasildefato/p/C8nmQ_YOVZm/,2024-06-24T17:33:52-07:00
Esquerda Diario,esquerda_diario,Em meio catástrofe capitalista no RS como consequência da devastação ambiental com anuência do Estado  em pleno maior plano safra da história  num gigantesco financiamento de centenas de bilhões do governo Lula-Alckmin ao agronegócio  que também sancionou o Marco Temporal após sua aprovação no congresso nacional com apoio de sua base de governo  assistimos agora a aprovação da greve dos servidores ambientais que resistem à precarização de suas carreiras após 6 meses de intransigência da Frente Ampla governista nas mesas de negociação com o Ministério da Gestão e da Inovação em Serviços Públicos (MGI).   A ampliação da greve dos servidores ambientais por reajustes salariais e pela reestruturação de carreira é necessária e justa nesta conjuntura de devastação ambiental promovida pelo governo que enfraquece os órgãos de proteção do meio ambiente enquanto concilia com empresários que lucram a partir do extrativismo e da transformação das florestas em pastos.  Apesar do discurso eleitoral  o presidente Lula continuou a política de desmonte do setor promovida pelo governo de Jair Bolsonaro  tendo como resposta nesta segunda-feira (24) a ampliação do movimento de greves iniciado em janeiro por trabalhadores do Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (Ibama) e do Instituto Chico Mendes de Conservação da Biodiversidade (ICMBio).   Agora a paralisação será total e em vários estados impactando a administração desses órgãos principalmente na fiscalização contra o desmatamento ilegal e outros crimes ambientais  e nas análises de pedidos de licenças ambientais. Mas ao contrário do governo que tenta lavar suas mão se isentando da responsabilidade sobre o sucateamento que estão impondo a esses órgãos a estratégia do governo tem sido jogar a culpa para os trabalhadores que resistem à precarização dessas instituições  com a Advocacia-Geral da União (AGU) anunciando pedido ao Superior Tribunal de Justiça (STJ) para que decrete a ilegalidade da greve em favor das políticas de desmontes do governo Lula que continuam abrindo porteira para boiada passar. É preciso cercar de solidariedade a greve dos servidores ambientais em defesa do meio ambiente.,Imprensa e redes sociais,161,0,80,https://www.instagram.com/esquerda_diario,2024-06-24T16:01:40-07:00
Elton Cunha,eltoncunha13,Repost <redacted_mention>  • • • • • • Mais de 700 mil brasileiros precisaram se deslocar ao longo do ano de 2022  a maior parte devido a enchentes. Os dados são da Organização Internacional para Migrações  agência que integra os sistemas da ONU.  Mas os números podem aumentar ainda mais em 2023 e 2024 devido aos eventos climáticos extremos registrados no período. Só a tragédia climática no Rio Grande do Sul  afetou mais de 400 municípios  resultando em mais de 66 mil pessoas em abrigos e mais de 163 mil desabrigadas.  Na avaliação de Claudio Angelo  coordenador de política internacional do Observatório do Clima  a extensão  densidade populacional e geografia do Brasil  além do despreparo para lidar com os efeitos das mudanças do clima  explicam os números crescentes desses deslocamentos.  Além de registar o maior número de migrantes  o Brasil também está entre os países da América Latina que mais acolhem solicitantes de asilo  ao lado do Peru  México e Costa Rica.   O estudo alerta que a região enfrenta desafios relacionados à degradação ambiental  desastres e mudança climática  agravando a situação de vários países que já passam por conflitos e violência.   Claudio  ngelo pontua que essa situação tende a se tornar muito mais grave à medida em que o número de imigrantes por desastres climáticos cresce.  O coordenador de política internacional do Observatório do Clima explica que não dá mais para evitar os eventos extremos com o nível de aquecimento global contratado nas últimas décadas. O especialista avalia que é preciso construir resiliência.  Segundo o relatório da Organização Internacional para Migrações  os venezuelanos continuaram sendo a maior população deslocada entre fronteiras no mundo em 2022. São mais de 7 milhões de refugiados venezuelanos e migrantes deslocados em todo o mundo. O Brasil acolheu cerca de 400 mil cidadãos do país vizinho.  🔍Referência: Agência Brasil  2024. Disponível em: https://agenciabrasil.ebc.com.br/radioagencia-nacional/meio-ambiente/audio/2024-05/brasil-lidera-deslocamentos-por-desastres-naturais-na-america-do-sul. Acesso em 05 junho 2024.  #deslocamentos #desastresnaturais #américadosul #clima #ench,Enchente - Rio Grande do Sul,13,1,6,https://www.instagram.com/eltoncunha13,2024-06-24T11:41:58-07:00
Solar dos Abacaxis,solardosabacaxis,Diante da imensurável tragédia ambiental que atravessamos no Rio Grande do Sul  informamos que foi necessário adiar a data de itinerância da exposição ‘Corações à Desmedida’ na Casa de Cultura Mario Quintana (<redacted_mention>)  A equipe da Casa de Cultura Mário Quintana informa que todas as obras se encontram devidamente armazenadas e seguras. No entanto  o espaço no momento está fechado para realização dos reparos necessários devido aos danos causados pela enchente. Uma retomada gradual das atividades está sendo organizada. A previsão atual é de que a CCMQ esteja totalmente aberta ao público no início de agosto. A exposição ‘Corações à Desmedida’ vai abrir a casa nessa nova etapa.  Nossa equipe se encontra profundamente mobilizada pelos últimos acontecimentos e nos solidarizamos com todas as vítimas das enchentes do RS.  Estendemos nossos pedidos a todes que puderem ajudar com doações neste momento  pois qualquer ajuda se faz fundamental.  Cada contribuição conta! Juntos  podemos trazer esperança e ajudar quem mais precisa a se reerguer.  Esperamos que todes possamos nos encontrar com saúde e alegria o mais breve possível nesta ocasião tão especial que é a homenagem a nossa querida Rochelle Costi. ❤️  ☀️🍍,Enchente - Rio Grande do Sul,0,14,0,https://www.instagram.com/solardosabacaxis,2024-06-24T11:04:51-07:00
𝐍𝐎 𝐑𝐀𝐒𝐓𝐑𝐎 𝐃𝐎 𝐂𝐑𝐈𝐌𝐄,rastro_do_crime,"CATÁSTROFE AMEAÇA A SOBREVIVÊNCIA DE ELDORADO DO SUL COMO CIDADE  ELDORADO DO SUL foi arrasada pela enchente de maio e volta neste momento a sofrer com alagamentos pela cheia do JACUÍ.  A água voltou a alagar ruas inteiras em ELDORADO DO SUL.   A inundação atingiu os BAIRROS DA CIDADE VERDE e VILA DA PAZ  trazendo revolta e incerteza para os moradores do pequeno município de 40 mil habitantes devastado pelas chuvas de maio.  A prefeitura estima que 97% da área urbana e 80% da área total do município ficaram submersas na maior catástrofe ambiental da história gaúcha. Em algumas das ruas de ELDORADO DO SUL ainda é possível ver  mais de 45 dias após a enchente  montanhas de entulhos  carros arrastados pelas águas abandonados no meio da rua e até casas inteiras de madeira que foram deslocadas com a força da correnteza. Revoltada com essa situacão  a dona de casa INÊS DA SILVA  de 47 anos  tentava limpar a casa que voltou a ser invadida pela água.   ""No início da semana eu vim aqui e fiquei feliz que a água não estava mais na frente da minha casa  mas agora começou de novo""  lamentou. Dos 40 mil moradores  mais de 30 mil foram atingidos pela enchente do mês passado que  em alguns pontos  chegou ao primeiro andar das casas.   Após 28 dias com alagamentos  a população tentava limpar as residências para  recomeçar a vida  mas novo aviso de alerta pediu para as famílias das áreas mais vulneráveis deixarem novamente suas casas. INÊS DA SILVA vive sozinha com três filhos  sendo a mais nova de apenas 6 anos.   ""Nosso psicológico está abalado. Eu já não durmo de noite mais direito. Quando a gente quer descansar  a cabeça da gente vem com tudo.  É nosso lar  né? É a única casa que a gente tem.  Aí  quando a gente quer voltar para as nossas casas  acontece isso aí de novo""*  desabafou. A dona de casa disse que hoje vive de aluguel  mas que não pode pagar por muito mais tempo.  Ela lembrou que sua filha pegou pneumonia no abrigo e que chegou a passar fome e sede nos primeiros dias após a enchente.  Para ela  a saída deve ser uma indenização para os atingidos.  “Não somos obrigados a morar no lugar que eles querem.",Racismo ambiental e Enchente do Rio Grande do Sul,27,0,14,https://www.instagram.com/rastro_do_crime,2024-06-21T19:00:05-07:00
UNESP,unesp_oficial,As enchentes de maio no Rio Grande do Sul evidenciaram a discussão sobre o afrouxamento da legislação ambiental no estado. Docentes da Unesp apontam problemas que podem advir caso haja aprovação da nova legislação.   📰 Leia o texto completo no Jornal da Unesp. Link na bio.   #Unesp #JornaldaUnesp #meioambiente #mudancasclimaticas #legislacao,Enchente - Rio Grande do Sul,81,0,40,https://www.instagram.com/unesp_oficial,2024-06-21T16:17:05-07:00
Jornal do Commercio PE,jc_pe,RS | A água voltou a alagar ruas inteiras em Eldorado do Sul  no Rio Grande do Sul  nessa quinta-feira (20). A inundação atingiu os bairros da Cidade Verde e Vila da Paz  trazendo revolta e incerteza para os moradores do pequeno município de 40 mil habitantes devastado pelas chuvas de maio. A prefeitura estima que 97% da área urbana e 80% da área total do município ficaram submersas na maior catástrofe ambiental da história gaúcha.  Em algumas das ruas de Eldorado ainda é possível ver  mais de 45 dias após a enchente  montanhas de entulhos  carros arrastados pelas águas abandonados no meio da rua e até casas inteiras de madeira que foram deslocadas com a força da correnteza.   Revoltada com essa situação  a dona de casa Inês da Silva  de 47 anos  tentava limpar a casa que voltou a ser invadida pela água. “No início da semana eu vim aqui e fiquei feliz que a água não estava mais na frente da minha casa  mas agora começou de novo”  lamentou.  Segundo o vice-prefeito  a obra é estimada em R$ 460 milhões de recursos da União e gestão do governo do estado do Rio Grande do Sul (RS). Ricardo informou que falta apenas o projeto de execução e que o governador Eduardo Leite (PSDB) prometeu realizar a licitação ainda esse ano.  Com informações da Agência Brasil. Para outras notícias  acesse JC.COM.BR  (Imagens: Bruno Peres/ Agência Brasil)  #ll #riograndesdosul #chuvas,Enchente - Rio Grande do Sul,668,6,334,https://www.instagram.com/jc_pe,2024-06-21T10:00:33-07:00
SOS Amazônia,sosamazonia,🌍✨ Já ouviu falar em racismo ambiental?   Em uma entrevista ao programa <redacted_mention>   apresentado por <redacted_mention>   <redacted_mention>  assistente de comunicação no projeto Observatório Socioambiental do Acre/SOS Amazônia  explicou esse conceito. Ela destacou o contraste entre bairros periféricos e não periféricos nas cidades.  📅 Em outubro  iremos às urnas em busca de melhorias. O racismo ambiental é uma pauta importante a ser considerada antes do voto.  👀 Você já percebeu alguma estrutura racista na sua cidade? Comente abaixo! ⬇️  #RacismoAmbiental #Ecosfeminismos #MeioAmbiente #sosamazônia #sosamazonia #somosamazonia #sociedade #JustiçaSocial #Eleições2024 #ObservatórioSocioambiental,Racismo ambiental,134,9,67,https://www.instagram.com/sosamazonia,2024-06-21T08:41:25-07:00
